0	0.00
10	10.48
20	19.72
30	27.06
40	32.51
50	36.36
60	38.99
70	40.67
80	41.61
90	41.91
100	41.61
110	40.68
120	39.00
130	36.39
140	32.55
150	27.12
160	19.79
170	10.57
180	0.10
