Name,Right Ascension,Declination,Apparent Magnitude,Constellation

Beta Chamaeleontis,12h 18m 20.94s,-79° 18′ 44.2″,4.24,Chamaeleon
Gamma Chamaeleontis,10h 35m 28.22s,-78° 36′ 28.1″,4.11,Chamaeleon
Alpha Chamaeleontis,08h 18m 31.27s,-76° 55′ 11.9″,4.05,Chamaeleon
