Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Beta Comae Berenices,13h 11m 52.92s,+27° 52′ 33.7″,4.26,Coma Berenices
Alpha Comae Berenices,13h 09m 59.55s,+17° 31′ 44.8″,4.32,Coma Berenices
Gamma Comae Berenices,12h 26m 56.33s,+28° 16′ 07.0″,4.35,Coma Berenices
