Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Alpha Lyncis,09h 21m 03.46s,+34° 23′ 33.1″,3.14,Lynx
38 Lyncis,09h 18m 50.67s,+36° 48′ 10.4″,3.82,Lynx
HD 77912,09h 06m 31.79s,+38° 27′ 08.1″,4.56,Lynx
10 Ursae Majoris,09h 00m 38.75s,+41° 47′ 00.4″,3.96,Lynx
31 Lyncis,08h 22m 50.13s,+43° 11′ 18.1″,4.25,Lynx
21 Lyncis,07h 26m 42.86s,+49° 12′ 41.9″,4.61,Lynx
15 Lyncis,06h 57m 16.60s,+58° 25′ 23.0″,4.35,Lynx
2 Lyncis,06h 19m 37.39s,+59° 00′ 39.3″,4.44,Lynx
