Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Vega,18h 36m 56.19s,+38° 46′ 58.8″,0.03,Lyra
Zeta1 Lyrae,18h 44m 46.34s,+37° 36′ 18.2″,4.34,Lyra
Delta2 Lyrae,18h 54m 30.29s,+36° 53′ 55.0″,4.22,Lyra
Gamma Lyrae,18h 58m 56.62s,+32° 41′ 22.4″,3.25,Lyra
Beta Lyrae,18h 50m 04.79s,+33° 21′ 45.6″,3.52,Lyra
