Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Zeta Sagittarii,19h 02m 36.72s,-29° 52′ 48.4″,2.6,Sagittarius
Tau Sagittarii,19h 06m 56.44s,-27° 40′ 11.3″,3.32,Sagittarius
Sigma Sagittarii,18h 55m 15.92s,-26° 17′ 47.7″,2.05,Sagittarius
Phi Sagittarii,18h 45m 39.35s,-26° 59′ 26.8″,3.17,Sagittarius
Lambda Sagittarii,18h 27m 58.27s,-25° 25′ 16.5″,2.82,Sagittarius
Delta Sagittarii,18h 20m 59.62s,-29° 49′ 40.9″,2.72,Sagittarius
Gamma2 Sagittarii,18h 05m 48.52s,-30° 25′ 25.1″,2.98,Sagittarius
Epsilon Sagittarii,18h 24m 10.35s,-34° 23′ 03.5″,1.79,Sagittarius
