Name,Right Ascension,Declination,Apparent Magnitude,Constellation


Alpha Indi,20h 37m 33.99s,-47° 17′ 30.0″,3.11,Indus
Theta Indi,21h 19m 51.88s,-53° 26′ 57.4″,4.39,Indus
Beta Indi,20h 54m 48.58s,-58° 27′ 14.7″,3.67,Indus
Eta Indi,20h 44m 02.19s,-51° 55′ 15.0″,4.51,Indus
