Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Theta Coronae Borealis,15h 32m 55.80s,+31° 21′ 33.0″,4.14,Corona Borealis
Beta Coronae Borealis,15h 27m 49.85s,+29° 06′ 19.8″,3.66,Corona Borealis
Alpha Coronae Borealis,15h 34m 41.19s,+26° 42′ 53.7″,2.22,Corona Borealis
Gamma Coronae Borealis,15h 42m 44.64s,+26° 17′ 43.9″,3.81,Corona Borealis
Delta Coronae Borealis,15h 49m 35.70s,+26° 04′ 06.8″,4.59,Corona Borealis
Epsilon Coronae Borealis,15h 57m 35.30s,+26° 52′ 40.9″,4.14,Corona Borealis
Iota Coronae Borealis,16h 01m 26.59s,+29° 51′ 03.9″,4.98,Corona Borealis
