Name,Right Ascension,Declination,Apparent Magnitude,Constellation

Alpha Trianguli Australis,16h 48m 39.87s,-69° 01′ 39.5″,1.91,Triangulum Australe
Beta Trianguli Australis,15h 55m 08.81s,-63° 25′ 47.1″,2.83,Triangulum Australe
Epsilon Trianguli Australis,15h 36m 43.19s,-66° 19′ 00.9″,4.11,Triangulum Australe
Gamma Trianguli Australis,15h 18m 54.69s,-68° 40′ 46.1″,2.87,Triangulum Australe
