Name,Right Ascension,Declination,Apparent Magnitude,Constellation

Alpha Circini,14h 42m 30.69s,-64° 58′ 28.5″,3.18,Circinus
Beta Circini,15h 17m 30.96s,-58° 48′ 03.2″,4.07,Circinus
Gamma Circini,15h 23m 22.66s,-59° 19′ 14.5″,4.48,Circinus
