Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Alpha Telescopii,18h 26m 58.43s,-45° 58′ 06.0″,3.49,Telescopium
Zeta Telescopii,18h 28m 49.74s,-49° 04′ 12.1″,4.1,Telescopium
