Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Alpha Fornacis,03h 12m 04.28s,-28° 59′ 20.8″,3.85,Fornax
Beta Fornacis,02h 49m 05.36s,-32° 24′ 22.6″,4.45,Fornax
