Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Alpha Sextantis,10h 07m 56.30s,-00° 22′ 17.9″,4.48,Sextans
Beta Sextantis,10h 30m 17.50s,-00° 38′ 13.1″,5.08,Sextans
