Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Beta Trianguli,02h 09m 32.52s,+34° 59′ 14.6″,3.0,Triangulum
Alpha Trianguli,01h 53m 04.90s,+29° 34′ 45.8″,3.42,Triangulum
Gamma Trianguli,02h 17m 18.84s,+33° 50′ 50.4″,4.03,Triangulum
Gamma Trianguli,02h 17m 18.84s,+33° 50′ 50.4″,4.03,Triangulum
