Name,Right Ascension,Declination,Apparent Magnitude,Constellation

Gamma Volantis,07h 08m 44.82s,-70° 29′ 57.1″,3.62,Volans
Zeta Volantis,07h 41m 49.20s,-72° 36′ 22.1″,3.93,Volans
Epsilon Volantis,08h 07m 55.84s,-68° 37′ 01.7″,4.35,Volans

Beta Volantis,08h 25m 44.25s,-66° 08′ 11.5″,3.77,Volans
Alpha Volantis,09h 02m 26.80s,-66° 23′ 45.0″,4.0,Volans


Delta Volantis,07h 16m 49.83s,-67° 57′ 25.8″,3.97,Volans
