Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Beta Cancri,08h 16m 30.95s,+09° 11′ 08.4″,3.53,Cancer
Delta Cancri,08h 44m 41.11s,+18° 09′ 17.5″,3.94,Cancer
Iota Cancri,08h 46m 41.83s,+28° 45′ 36.0″,4.03,Cancer
Alpha Cancri,08h 58m 29.20s,+11° 51′ 28.0″,4.26,Cancer
Gamma Cancri,08h 43m 17.21s,+21° 28′ 06.9″,4.66,Cancer
Xi Cancri,09h 09m 21.53s,+22° 02′ 43.6″,5.16,Cancer
