Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Alpha Equulei,21h 15m 49.40s,+05° 14′ 53.1″,3.92,Equuleus
Delta Equulei,21h 14m 28.79s,+10° 00′ 27.8″,4.47,Equuleus
Gamma Equulei,21h 10m 20.47s,+10° 07′ 55.0″,4.7,Equuleus
Beta Equulei,21h 22m 53.58s,+06° 48′ 40.0″,5.16,Equuleus
