Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Polaris,02h 31m 47.08s,+89° 15′ 50.9″,1.97,Ursa Minor
Delta Ursae Minoris,17h 32m 12.90s,+86° 35′ 10.8″,4.35,Ursa Minor
Epsilon Ursae Minoris,16h 45m 58.16s,+82° 02′ 14.1″,4.21,Ursa Minor
Zeta Ursae Minoris,15h 44m 03.46s,+77° 47′ 40.2″,4.29,Ursa Minor
Beta Ursae Minoris,14h 50m 42.40s,+74° 09′ 19.7″,2.07,Ursa Minor
Gamma Ursae Minoris,15h 20m 43.75s,+71° 50′ 02.3″,3.04,Ursa Minor
Eta Ursae Minoris,16h 17m 30.50s,+75° 45′ 16.9″,4.95,Ursa Minor
