Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Alpha Arietis,02h 07m 10.29s,+23° 27′ 46.0″,2.01,Aries
Beta Arietis,01h 54m 38.35s,+20° 48′ 29.9″,2.64,Aries
Gamma Arietis,01h 53m 31.80s,+19° 17′ 45.0″,4.62,Aries
41 Arietis,02h 49m 58.99s,+27° 15′ 38.8″,3.61,Aries
