Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Beta Scuti,18h 47m 10.48s,-04° 44′ 52.2″,4.22,Scutum
Alpha Scuti,18h 35m 12.44s,-08° 14′ 35.9″,3.85,Scutum
Gamma Scuti,18h 29m 11.85s,-14° 33′ 56.9″,4.67,Scutum
HD 175156,18h 54m 43.12s,-15° 36′ 10.9″,5.08,Scutum
