Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Alpha Pyxidis,08h 43m 35.55s,-33° 11′ 11.1″,3.68,Pyxis
Beta Pyxidis,08h 40m 06.14s,-35° 18′ 29.9″,3.97,Pyxis
Gamma Pyxidis,08h 50m 32.01s,-27° 42′ 36.2″,4.02,Pyxis
