Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Alpha Sculptoris,00h 58m 36.35s,-29° 21′ 26.9″,4.3,Sculptor
Gamma Sculptoris,23h 18m 49.43s,-32° 31′ 54.6″,4.41,Sculptor
Beta Sculptoris,23h 32m 58.19s,-37° 49′ 06.1″,4.38,Sculptor
Eta Sculptoris,00h 27m 55.71s,-33° 00′ 25.4″,4.86,Sculptor
