Name,Right Ascension,Declination,Apparent Magnitude,Constellation

Gamma Mensae,05h 31m 52.66s,-76° 20′ 30.0″,5.18,Mensa
HD 31975,04h 53m 05.73s,-72° 24′ 30.0″,6.28,Mensa
Mu Mensae,04h 43m 03.95s,-70° 55′ 52.0″,5.53,Mensa
