Name,Right Ascension,Declination,Apparent Magnitude,Constellation


Beta Octantis,22h 46m 03.72s,-81° 22′ 53.8″,4.13,Octans
Nu Octantis,21h 41m 28.47s,-77° 23′ 22.1″,3.76,Octans
Delta Octantis,14h 26m 55.74s,-83° 40′ 04.3″,4.31,Octans
