Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Epsilon Microscopii,21h 17m 56.25s,-32° 10′ 20.9″,4.71,Microscopium
2 Piscis Austrini,21h 06m 24.68s,-32° 20′ 29.9″,5.2,Microscopium
Gamma Microscopii,21h 01m 17.46s,-32° 15′ 28.0″,4.67,Microscopium
Alpha Microscopii,20h 49m 58.08s,-33° 46′ 46.8″,4.89,Microscopium
