Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Procyon,07h 39m 18.54s,+05° 13′ 39.0″,0.34,Canis Minor
Beta Canis Minoris,07h 27m 09.07s,+08° 17′ 21.9″,2.89,Canis Minor
