Name,Right Ascension,Declination,Apparent Magnitude,Constellation

Beta Crucis,12h 47m 43.32s,-59° 41′ 19.4″,1.25,Crux
Delta Crucis,12h 15m 08.76s,-58° 44′ 56.0″,2.79,Crux

Alpha Crucis,12h 26m 35.94s,-63° 05′ 56.6″,1.4,Crux
Gamma Crucis,12h 31m 09.93s,-57° 06′ 45.2″,1.6,Crux
