Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha

Theta Librae,15h 53m 49.48s,-16° 43′ 46.6″,4.13,Libra,Gamma Librae,15h 35m 31.54s,-14° 47′ 22.4″,3.91,Libra,-,grey,1,0.5
Gamma Librae,15h 35m 31.54s,-14° 47′ 22.4″,3.91,Libra,Beta Librae,15h 17m 00.47s,-09° 22′ 58.3″,2.61,Libra,-,grey,1,0.5
Beta Librae,15h 17m 00.47s,-09° 22′ 58.3″,2.61,Libra,Alpha Librae,14h 50m 52.78s,-16° 02′ 29.8″,2.75,Libra,-,grey,1,0.5
Alpha Librae,14h 50m 52.78s,-16° 02′ 29.8″,2.75,Libra,Sigma Librae,15h 04m 04.26s,-25° 16′ 54.7″,3.25,Libra,-,grey,1,0.5
Sigma Librae,15h 04m 04.26s,-25° 16′ 54.7″,3.25,Libra,Gamma Librae,15h 35m 31.54s,-14° 47′ 22.4″,3.91,Libra,-,grey,1,0.5

