Name,Right Ascension,Declination,Apparent Magnitude,Constellation



Gamma Doradus,04h 16m 01.49s,-51° 29′ 13.5″,4.26,Dorado
Alpha Doradus,04h 33m 59.72s,-55° 02′ 42.0″,3.3,Dorado
Beta Doradus,05h 33m 37.52s,-62° 29′ 23.5″,3.76,Dorado
HD 40409,05h 54m 05.90s,-63° 05′ 27.7″,4.65,Dorado
Delta Doradus,05h 44m 46.42s,-65° 44′ 07.9″,4.34,Dorado
Beta Doradus,05h 33m 37.52s,-62° 29′ 23.5″,3.76,Dorado
